cluster,gene,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,Pearson_r2,p.adj
nonPAM,CG5261,0.7691662311553955,0.7395212054252625,0.6786981225013733,0.6332573294639587,0.6526066660881042,0.5515716075897217,0.6142559051513672,-0.8995165466521462,0.011575744356645545
nonPAM,CG5850,0,0.02758128196001053,0.01187376491725445,0.02854302152991295,0.04034128040075302,0.04923098534345627,0.09550807625055313,0.8937576294268116,0.013250621548543106
nonPAM,CG6094,0.3566332757472992,0.2566832900047302,0.2636539340019226,0.2712277472019196,0.2394679635763168,0.2061493247747421,0.1648066639900208,-0.9066577438705028,0.009679030947154551
nonPAM,CG6443,0.3504469990730286,0.323574423789978,0.2837080955505371,0.1969678699970245,0.2731905281543732,0.1950376480817795,0.1698170006275177,-0.8955643570345971,0.012687017753154084
nonPAM,CG6746,0.1188991665840149,0.1564043611288071,0.08058024197816849,0.1048887819051743,0.1042711064219475,0.03397408500313759,0.02668469212949276,-0.8281850593546948,0.04194098266006177
nonPAM,CG7099,0.1018505841493607,0.1040139198303223,0.0989733338356018,0,0.05314799398183823,0.02935615740716457,0,-0.8222950970970774,0.04544877110606417
nonPAM,CG7222,0.2273946851491928,0.2509865760803223,0.2855074405670166,0.3206562697887421,0.3165988028049469,0.337794154882431,0.3237604796886444,0.915948786312921,0.007491545953129002
nonPAM,CG7376,0.04054984450340271,0.06457897275686264,0.04201814904808998,0.02854302152991295,0.0185017604380846,0.01258472260087729,0,-0.8918173094847922,0.013821501361233635
nonPAM,CG7639,0.2195720672607422,0.2711907029151917,0.2142455577850342,0.1958613693714142,0.1514190584421158,0.1008699312806129,0.1392211616039276,-0.8634903245234589,0.024236633802549208
nonPAM,CG7787,0.3528754115104675,0.2426738440990448,0.1663244366645813,0.1859242618083954,0.1316917389631271,0.1189495772123337,0.1115296259522438,-0.9020694108675882,0.01087633417666367
nonPAM,CG7927,0.3110377192497253,0.3188295364379883,0.2922187447547913,0.2419660538434982,0.2207261025905609,0.2017599791288376,0.08791185915470123,-0.9336170565236108,0.004198475060728426
nonPAM,CG8187,0.2093918919563293,0.2084725648164749,0.2374292761087418,0.2134356498718262,0.2480656802654266,0.2668537199497223,0.37785297632217407,0.8158673884110954,0.048705229344190644
nonPAM,CG8397,0.4364076852798462,0.4391768574714661,0.4992499351501465,0.4271948039531708,0.3800864517688751,0.2976683080196381,0.3064018487930298,-0.8234837837017172,0.044065792766618796
